PAIS_ORIGEM;TITULO_ORIGINAL;ROE
ALEMANHA;DIE FREMDE AKA WHEN WE LEAVE;E1300000100000
ALEMANHA;DIE FÄLSCHER;E1600541200000
ALEMANHA;DIE GEBRUDER SKLADANOWSKY (AKA A TRICK OF LIGHT);E1300000100000
ALEMANHA;DIE GELIEBTEN SCHWESTERN;E1402625400000
ALEMANHA;DIE LEBENDEN;E1600743800000
ALEMANHA;DIE MANNEQUIN - LIVE IN SAARBRUCKEN;E1300000100000
ALEMANHA;DIE MITTE DER WELT;E2100003400000
ALEMANHA;DIE PFEFFERKÖRNER UND DER FLUCH DES SCHWARZEN KÖNIGS;E1800381800000
ALEMANHA;DIE PÄPSTIN AKA POPE JOAN;E1300000100000
ALEMANHA;DIE REISE MIT VATER;E1800271200000
ALEMANHA;DIE SEHNSUCHT DER VERONIKA VOSS;E1300000100000
ALEMANHA;DIE STURMFLUT;E1300000100000
ALEMANHA;DIE UNSICHTBAREN;E1800412400000
ALEMANHA;DIE WELLE;E1300000100000
ALEMANHA;DIE WELLE;E1402479900000
ALEMANHA;DIE WILDEN KERLE 2 (AKA - WILD SOCCER BUNCH 2);E1300000100000
ALEMANHA;DIE WILDEN KERLE 3 (AKA -WILD SOCCER BUNCH 3);E1300000100000
ALEMANHA;DIE ZUKUNFT DER STÄDTE;E1800315200000
ALEMANHA;DIESES BESCHEUERTE HERZ;E1800308900000
ALEMANHA;DILILI À PARIS;E1900133000000
ALEMANHA;DIPLOMATIE;E1500902900000
ALEMANHA;DISCOVERING MASTERPIECES OF CLASSICAL MUSIC;E1300000100000
