TITULO_PROJETO;CHAMADA_PUBLICA;ANO_EDITAL;CNPJ_PROPONENTE;RAZAO_SOCIAL_PROPONENTE;CNPJ_PRODUTORA;RAZAO_SOCIAL_PRODUTORA;CNPJ_PROGRAMADORA;RAZAO_SOCIAL_PROGRAMADORA;DATA_EXTRATO_CONTRATO_DOU;VALOR_CONTRATO_DOU;DATA_PRIMEIRO_DESEMBOLSO;VALOR_TOTAL_LIBERADO
RIOS;PRODAV 01;2013;15.128.758/0001-87;TEM DENDE PRODUCOES LTDA - ME;15.128.758/0001-87;TEM DENDE PRODUCOES LTDA - ME;00.000.000/0000-0-;-;19/07/2017;R$ 1.260.000,00;22/08/2017;R$ 1.260.000,00
RIOS - BACIA DO PARANÁ;PRODAV 01;2013;25.238.748/0001-58;TAGUAY TAYUSSY BRANDAO SOUZA - ME;25.238.748/0001-58;TAGUAY TAYUSSY BRANDAO SOUZA - ME;00.000.000/0000-0-;-;31/10/2018;R$ 1.000.000,00;06/11/2018;R$ 1.000.000,00
SOCIEDADE ALTERNATIVA;PRODAV 01;2013;27.676.695/0001-82;CENTELHA FILMES E PRODUÇÕES CULTURAIS LTDA - ME;27.676.695/0001-82;CENTELHA FILMES E PRODUÇÕES CULTURAIS LTDA - ME;00.000.000/0000-0-;-;17/10/2018;R$ 294.216,80;29/10/2018;R$ 294.216,80
SOL;PRODECINE 02;2013;08.257.054/0001-49;SM DISTRIBUIDORA DE FILMES LTDA;13.924.232/0001-88;DRAMATICA FILMES - EIRELI;08.257.054/0001-49;SM DISTRIBUIDORA DE FILMES LTDA;09/09/2016;R$ 2.000.000,00;21/06/2019;R$ 2.000.000,00
SOLDADOS DO ARAGUAIA;PRODAV 01;2013;04.661.796/0001-84;GIROS PROJETOS AUDIOVISUAIS LTDA;04.661.796/0001-84;GIROS PROJETOS AUDIOVISUAIS LTDA;00.000.000/0000-0-;-;22/08/2016;R$ 400.000,00;31/08/2016;R$ 400.000,00
PADRE ANTÔNIO VIEIRA - TESTEMUNHO DE UM SÉCULO;PRODAV 01;2013;17.902.521/0001-37;GUARNICE PRODUÇÕES EIRELI - EPP;17.902.521/0001-37;GUARNICE PRODUÇÕES EIRELI - EPP;00.000.000/0000-0-;-;12/12/2018;R$ 993.540,00;17/12/2018;R$ 993.540,00
PALAVRAS PERMANECEM;PRODAV 01;2013;06.323.379/0001-57;BIG BONSAI BRASILIS PRODUÇÕES ARTÍSTICAS CULTURAIS E CINEMATOGRÁFICAS LTDA;06.323.379/0001-57;BIG BONSAI BRASILIS PRODUÇÕES ARTÍSTICAS CULTURAIS E CINEMATOGRÁFICAS LTDA;00.000.000/0000-0-;-;20/02/2017;R$ 478.016,00;04/04/2017;R$ 478.016,00
OS FAGUNDES;PRODAV 01;2013;04.791.421/0001-39;ESTAÇÃO ELÉTRICA PRODUÇÃO DE CINEMA E VÍDEO LTDA.;04.791.421/0001-39;ESTAÇÃO ELÉTRICA PRODUÇÃO DE CINEMA E VÍDEO LTDA.;00.000.000/0000-0-;-;09/09/2015;R$ 379.000,00;17/09/2015;R$ 379.000,00
PIEDADE;PRODECINE 01;2013;01.369.211/0001-69;REPÚBLICA PUREZA FILMES LTDA.;01.369.211/0001-69;REPÚBLICA PUREZA FILMES LTDA.;05.249.852/0001-30;LUDWIG MAIA ARTHOUSE DISTRIBUIDORA DE FILMES LTDA;26/08/2015;R$ 1.000.000,00;05/10/2015;R$ 1.000.000,00
QUESTÃO DE FAMÍLIA - 2ª TEMPORADA;PRODAV 01;2013;04.551.480/0001-30;ATITUDE PRODUÇÕES E EMPREENDIMENTOS LTDA;04.551.480/0001-30;ATITUDE PRODUÇÕES E EMPREENDIMENTOS LTDA;00.000.000/0000-0-;-;27/07/2015;R$ 3.000.000,00;24/11/2015;R$ 3.000.000,00
QUESTÃO DE FAMÍLIA - 3ª TEMPORADA;PRODAV 01;2013;04.551.480/0001-30;ATITUDE PRODUÇÕES E EMPREENDIMENTOS LTDA;04.551.480/0001-30;ATITUDE PRODUÇÕES E EMPREENDIMENTOS LTDA;00.000.000/0000-0-;-;23/12/2016;R$ 4.450.000,00;24/01/2017;R$ 4.450.000,00
PALMARES CORAÇÃO BRASILEIRO ALMA AFRICANA;PRODAV 01;2013;35.792.621/0001-30;PALMARES PRODUÇÕES E JORNALISMO LTDA;35.792.621/0001-30;PALMARES PRODUÇÕES E JORNALISMO LTDA;00.000.000/0000-0-;-;30/09/2016;R$ 700.000,00;18/11/2016;R$ 700.000,00
SEM VERGONHA;PRODAV 01;2013;13.571.915/0001-07;DILÚVIO FILMES PRODUÇÕES ARTÍSTICAS LTDA. -ME;13.571.915/0001-07;DILÚVIO FILMES PRODUÇÕES ARTÍSTICAS LTDA. -ME;00.000.000/0000-0-;-;03/03/2021;R$ 600.000,00;08/03/2021;R$ 600.000,00
SEM VOLTA;PRODAV 01;2013;05.565.485/0001-84;PANORAMICA COMUNICACAO LTDA.;05.565.485/0001-84;PANORAMICA COMUNICACAO LTDA.;00.000.000/0000-0-;-;04/11/2015;R$ 3.900.000,00;11/11/2015;R$ 3.900.000,00
SEMENTES DA EDUCAÇÃO - 2ª TEMPORADA;PRODAV 01;2013;05.397.945/0001-02;OZ PRODUÇÕES AUDIOVISUAIS E COMUNICAÇÃO LTDA;05.397.945/0001-02;OZ PRODUÇÕES AUDIOVISUAIS E COMUNICAÇÃO LTDA;00.000.000/0000-0-;-;10/04/2019;R$ 700.316,00;16/04/2019;R$ 700.316,00
SEMPRE POA;PRODAV 01;2013;07.842.589/0001-14;SANTA PRODUÇÃO DE FILMES LTDA;07.842.589/0001-14;SANTA PRODUÇÃO DE FILMES LTDA;00.000.000/0000-0-;-;05/01/2017;R$ 1.199.893,33;06/02/2017;R$ 1.199.893,33
OS HERDEIROS DE VARGAS;PRODAV 01;2013;05.913.319/0001-21;TOCA DE REIS PROJETOS EM COMUNICAÇÃO E CULTURA LTDA EPP;05.913.319/0001-21;TOCA DE REIS PROJETOS EM COMUNICAÇÃO E CULTURA LTDA EPP;00.000.000/0000-0-;-;24/10/2018;R$ 602.467,50;29/10/2018;R$ 602.467,50
OS MAIAS (ALGUNS) EPISÓDIOS DA VIDA ROMÂNTICA;PRODECINE 03;2013;72.062.029/0001-09;RACCORD PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA;72.062.029/0001-09;RACCORD PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA;05.249.852/0001-30;LUDWIG MAIA ARTHOUSE DISTRIBUIDORA DE FILMES LTDA;26/08/2015;R$ 200.000,00;09/09/2015;R$ 200.000,00
OS ÍMPARES;PRODAV 01;2013;17.935.462/0001-01;DAS MINAS PRODUCOES CINEMATOGRAFICAS LTDA;17.935.462/0001-01;DAS MINAS PRODUCOES CINEMATOGRAFICAS LTDA;00.000.000/0000-0-;-;11/05/2017;R$ 700.000,00;02/06/2017;R$ 700.000,00
PLIN & PLAN;PRODAV 01;2013;16.737.383/0001-15;PATABOOM ANIMAÇÃO 3D - CRIAÇÃO E PRODUÇÃO DE DESENHOS ANIMADOS LTDA-ME;16.737.383/0001-15;PATABOOM ANIMAÇÃO 3D - CRIAÇÃO E PRODUÇÃO DE DESENHOS ANIMADOS LTDA-ME;00.000.000/0000-0-;-;17/10/2018;R$ 95.000,00;22/10/2018;R$ 95.000,00
PLUFT, O FANTASMINHA;PRODECINE 01;2013;72.062.029/0001-09;RACCORD PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA;72.062.029/0001-09;RACCORD PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;05/02/2016;R$ 3.000.000,00;09/03/2016;R$ 3.000.000,00
PLURAL, A SÉRIE;PRODAV 01;2013;05.207.463/0001-42;DELCAST PRODUÇÕES LTDA - ME;05.207.463/0001-42;DELCAST PRODUÇÕES LTDA - ME;00.000.000/0000-0-;-;23/08/2019;R$ 665.242,60;02/09/2019;R$ 665.242,60
POÉTIKA;PRODAV 01;2013;19.380.838/0001-86;MFA BRAZIL AUDIOVISUAL - ME;19.380.838/0001-86;MFA BRAZIL AUDIOVISUAL - ME;00.000.000/0000-0-;-;19/12/2018;R$ 95.040,00;24/12/2018;R$ 95.040,00
REAL BELEZA;PRODECINE 03;2013;94.625.829/0001-23;CASA DE CINEMA DE PORTO ALEGRE LTDA.;94.625.829/0001-23;CASA DE CINEMA DE PORTO ALEGRE LTDA.;07.700.630/0001-18;ELO AUDIOVISUAL SERVIÇOS LTDA;23/05/2016;R$ 110.000,00;06/06/2016;R$ 110.000,00
OS POBRES DIABOS;PRODECINE 03;2013;10.505.568/0001-18;CARIRI PRODUÇÕES ARTÍSTICAS LTDA.;10.505.568/0001-18;CARIRI PRODUÇÕES ARTÍSTICAS LTDA.;03.553.092/0001-25;FREDERICO DA CRUZ MACHADO - ME;08/03/2017;R$ 200.000,00;29/03/2017;R$ 200.000,00
OS PROGRAMAS DE AUDITÓRIO NA TELEVISÃO;PRODAV 01;2013;02.993.488/0001-20;B2 PRODUÇÕES CINEMATOGRÁFICAS LTDA;02.993.488/0001-20;B2 PRODUÇÕES CINEMATOGRÁFICAS LTDA;00.000.000/0000-0-;-;28/05/2015;R$ 750.000,00;05/06/2015;R$ 750.000,00
OS RESISTENTES II;PRODAV 01;2013;05.163.327/0001-06;ARUAC PRODUÇÕES LTDA;05.163.327/0001-06;ARUAC PRODUÇÕES LTDA;00.000.000/0000-0-;-;23/11/2017;R$ 399.267,00;27/11/2017;R$ 399.267,00
OS SALTIMBANCOS;PRODECINE 04;2013;02.947.857/0001-49;RADAR CINEMA E TELEVISÃO LTDA;02.947.857/0001-49;RADAR CINEMA E TELEVISÃO LTDA;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;04/01/2017;R$ 886.449,00;12/01/2017;R$ 886.449,00
POLTRONA 27;PRODAV 01;2013;03.626.688/0001-08;MELODRAMA PRODUÇÕES LTDA.;03.626.688/0001-08;MELODRAMA PRODUÇÕES LTDA.;00.000.000/0000-0-;-;16/06/2015;R$ 1.131.350,00;23/06/2015;R$ 1.131.350,00
PONTE AÉREA;PRODECINE 04;2013;42.473.256/0001-66;MORENA FILMES EIRELI - ME;42.473.256/0001-66;MORENA FILMES EIRELI - ME;08.257.054/0001-49;SM DISTRIBUIDORA DE FILMES LTDA;24/04/2015;R$ 895.697,00;04/05/2015;R$ 895.697,00
PONTO ZERO;PRODECINE 04;2013;10.387.192/0001-94;MÍNIMA - CONCEPÇÃO, EDITORA E PRODUÇÃO VISUAL LTDA;10.387.192/0001-94;MÍNIMA - CONCEPÇÃO, EDITORA E PRODUÇÃO VISUAL LTDA;08.656.129/0001-64;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP;30/11/2015;R$ 400.000,00;22/12/2015;R$ 400.000,00
POR DENTRO DO BALÉ DA CIDADE;PRODAV 01;2013;00.020.648/0001-20;PRODIGO FILMS LTDA;00.020.648/0001-20;PRODIGO FILMS LTDA;00.000.000/0000-0-;-;01/07/2015;R$ 766.656,00;14/07/2015;R$ 766.656,00
OPERAÇÃO PEDRO PAN;PRODAV 01;2013;64.044.886/0001-58;FILMART PRODUÇÕES ARTISTICAS LTDA;64.044.886/0001-58;FILMART PRODUÇÕES ARTISTICAS LTDA;00.000.000/0000-0-;-;13/06/2017;R$ 1.033.685,00;22/06/2017;R$ 1.033.685,00
NÓS;PRODAV 01;2013;08.296.780/0001-70;NEOPLASTIQUE ENTRETENIMENTO LTDA;08.296.780/0001-70;NEOPLASTIQUE ENTRETENIMENTO LTDA;00.000.000/0000-0-;-;18/07/2016;R$ 400.000,00;02/08/2016;R$ 400.000,00
PELAS RUAS DO RIO;PRODAV 01;2013;05.617.531/0001-41;EL DESIERTO FILMES LTDA ME;05.617.531/0001-41;EL DESIERTO FILMES LTDA ME;00.000.000/0000-0-;-;08/11/2017;R$ 152.200,00;28/12/2017;R$ 152.200,00
PENDULAR;PRODECINE 05;2013;14.798.449/0001-51;ESQUINA PRODUÇÕES ARTÍSTICAS LTDA ME;14.798.449/0001-51;ESQUINA PRODUÇÕES ARTÍSTICAS LTDA ME;11.620.976/0001-83;VITRINE FILMES EIRELI - ME;17/08/2015;R$ 853.865,00;25/08/2015;R$ 853.865,00
PEQUENOS NARRADORES: COMUNIDADE;PRODAV 01;2013;03.250.728/0001-60;TAKAPY DIGITAL ART LTDA;03.250.728/0001-60;TAKAPY DIGITAL ART LTDA;00.000.000/0000-0-;-;11/04/2018;R$ 1.020.000,00;16/04/2018;R$ 1.020.000,00
QUASE SAMBA;PRODECINE 03;2013;02.140.120/0001-10;BANANEIRA FILMES LTDA.;02.140.120/0001-10;BANANEIRA FILMES LTDA.;11.620.976/0001-83;VITRINE FILMES EIRELI - ME;14/05/2015;R$ 199.815,00;29/05/2015;R$ 199.815,00
QUE HORAS ELA VOLTA?;PRODECINE 02;2013;08.656.129/0001-64;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP;64.047.665/0001-33;ÁFRICA FILMES LTDA;08.656.129/0001-64;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP;19/08/2015;R$ 1.200.000,00;04/09/2015;R$ 1.200.000,00
SANTOS DUMONT, O CÉU NA CABEÇA;PRODAV 01;2013;09.207.344/0001-40;EDER SAN JÚNIOR CINEMATOGRÁFICA E ARTE LTDA;09.207.344/0001-40;EDER SAN JÚNIOR CINEMATOGRÁFICA E ARTE LTDA;00.000.000/0000-0-;-;19/06/2019;R$ 700.000,00;15/07/2019;R$ 700.000,00
SÃO PAULO COMPANHIA DE DANÇA - 10 ANOS EM MOVIMENTO;PRODAV 01;2013;05.509.414/0001-64;PINHO PRODUÇÕES CULTURAIS LTDA;05.509.414/0001-64;PINHO PRODUÇÕES CULTURAIS LTDA;00.000.000/0000-0-;-;28/08/2019;R$ 350.000,00;12/09/2019;R$ 350.000,00
SÃO PAULO, MEU HUMOR;PRODAV 01;2013;03.435.290/0001-94;FILMES MAIS LTDA;03.435.290/0001-94;FILMES MAIS LTDA;00.000.000/0000-0-;-;27/09/2017;R$ 557.079,00;29/09/2017;R$ 557.079,00
ÓRFÃOS DO ELDORADO;PRODECINE 04;2013;04.939.205/0001-98;MATIZAR PRODUÇÕES ARTÍSTICAS LTDA;04.939.205/0001-98;MATIZAR PRODUÇÕES ARTÍSTICAS LTDA;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;28/08/2015;R$ 550.000,00;22/09/2015;R$ 550.000,00
OS AMIGOS;PRODECINE 03;2013;07.490.019/0001-02;GIRAFA FILMES LTDA;07.490.019/0001-02;GIRAFA FILMES LTDA;08.346.733/0001-94;RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.;06/04/2015;R$ 200.000,00;29/05/2015;R$ 200.000,00
OS ARREPENDIDOS;PRODAV 01;2013;04.728.553/0001-16;MUIRAQUITA FILMES E PRODUCOES ARTISTICAS EIRELI ­ ME;04.728.553/0001-16;MUIRAQUITA FILMES E PRODUCOES ARTISTICAS EIRELI ­ ME;00.000.000/0000-0-;-;02/08/2017;R$ 400.000,00;07/08/2017;R$ 400.000,00
PERISCÓPIO;PRODECINE 03;2013;67.619.171/0001-74;PALEOTEVE PRODUCAO CULTURAL EIRELI ­ EPP;67.619.171/0001-74;PALEOTEVE PRODUCAO CULTURAL EIRELI ­ EPP;11.620.976/0001-83;VITRINE FILMES EIRELI - ME;13/05/2015;R$ 200.000,00;12/06/2015;R$ 200.000,00
PERRENGUE;PRODAV 01;2013;01.369.211/0001-69;REPÚBLICA PUREZA FILMES LTDA.;01.369.211/0001-69;REPÚBLICA PUREZA FILMES LTDA.;00.000.000/0000-0-;-;07/08/2015;R$ 2.589.942,00;26/08/2015;R$ 2.589.942,00
PESSOAS – CONTAR PARA VIVER;PRODAV 01;2013;06.228.927/0001-60;CASA REDONDA PRODUCOES CULTURAIS EIRELI;06.228.927/0001-60;CASA REDONDA PRODUCOES CULTURAIS EIRELI;00.000.000/0000-0-;-;02/01/2018;R$ 807.500,00;12/01/2018;R$ 807.500,00
QUEIMAMUFA;PRODAV 01;2013;04.661.796/0001-84;GIROS PROJETOS AUDIOVISUAIS LTDA;04.661.796/0001-84;GIROS PROJETOS AUDIOVISUAIS LTDA;00.000.000/0000-0-;-;20/02/2017;R$ 1.361.019,00;15/03/2017;R$ 1.361.019,00
QUEM SE IMPORTA - A SÉRIE;PRODAV 01;2013;57.643.793/0001-84;MAMO FILMES LTDA;57.643.793/0001-84;MAMO FILMES LTDA;00.000.000/0000-0-;-;05/08/2015;R$ 1.000.000,00;16/10/2015;R$ 1.000.000,00
QUERO BOTAR MEU BLOCO NA RUA;PRODAV 01;2013;13.188.290/0001-90;INFFINITO ENTRETENIMENTO E COMUNICAÇÕES LTDA. ME.;13.188.290/0001-90;INFFINITO ENTRETENIMENTO E COMUNICAÇÕES LTDA. ME.;00.000.000/0000-0-;-;03/05/2017;R$ 400.000,00;23/05/2017;R$ 400.000,00
RAIVA;PRODECINE 04;2013;05.436.489/0001-62;REFINARIA PRODUÇÕES LTDA.;05.436.489/0001-62;REFINARIA PRODUÇÕES LTDA.;08.656.129/0001-64;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP;30/08/2017;R$ 231.596,00;05/09/2017;R$ 231.596,00
SEBASTIANA QUEBRA GALHO - 2ª TEMPORADA;PRODAV 01;2013;05.256.465/0001-21;URCA FILMES LTDA;05.256.465/0001-21;URCA FILMES LTDA;00.000.000/0000-0-;-;09/05/2018;R$ 998.931,00;01/06/2018;R$ 998.931,00
SECRETÁRIA DO PRESIDENTE;PRODAV 01;2013;06.998.046/0001-28;RT2A PRODUÇÕES CINEMATOGRÁFICAS LTDA.;06.998.046/0001-28;RT2A PRODUÇÕES CINEMATOGRÁFICAS LTDA.;00.000.000/0000-0-;-;21/12/2015;R$ 2.400.000,00;05/01/2016;R$ 2.400.000,00
SEGUNDO TEMPO;PRODECINE 02;2013;08.656.129/0001-64;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP;06.096.915/0001-29;MIRAÇÃO FILMES LTDA;08.656.129/0001-64;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP;03/05/2017;R$ 1.920.036,00;27/07/2017;R$ 1.920.036,00
SEGUNDO TEMPO;PRODECINE 04;2013;06.096.915/0001-29;MIRAÇÃO FILMES LTDA;06.096.915/0001-29;MIRAÇÃO FILMES LTDA;08.656.129/0001-64;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP;18/07/2018;R$ 1.353.267,34;26/07/2018;R$ 1.353.267,34
SEIS PROPOSTAS PARA UM MUNDO POSSÍVEL;PRODAV 01;2013;13.571.915/0001-07;DILÚVIO FILMES PRODUÇÕES ARTÍSTICAS LTDA. -ME;13.571.915/0001-07;DILÚVIO FILMES PRODUÇÕES ARTÍSTICAS LTDA. -ME;00.000.000/0000-0-;-;13/06/2018;R$ 420.000,00;28/06/2018;R$ 420.000,00
YOU TUBERS;PRODAV 01;2013;40.447.906/0001-73;SANDRA WERNECK T. DE SOUZA PRODUÇOES CINEMATOGRAFICAS EIRELI.;40.447.906/0001-73;SANDRA WERNECK T. DE SOUZA PRODUÇOES CINEMATOGRAFICAS EIRELI.;00.000.000/0000-0-;-;24/07/2019;R$ 599.000,00;05/08/2019;R$ 599.000,00
TUCA, O MESTRE CUCA;PRODAV 01;2013;03.274.384/0001-29;BELLI STUDIO DESIGN LTDA.;03.274.384/0001-29;BELLI STUDIO DESIGN LTDA.;00.000.000/0000-0-;-;07/03/2018;R$ 2.600.000,00;12/03/2018;R$ 2.600.000,00
TUDO POR UM POP STAR;PRODECINE 04;2013;05.565.485/0001-84;PANORAMICA COMUNICACAO LTDA.;05.565.485/0001-84;PANORAMICA COMUNICACAO LTDA.;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;30/08/2017;R$ 1.187.647,00;14/09/2017;R$ 1.187.647,00
UAKTI;PRODAV 01;2013;09.207.344/0001-40;EDER SAN JÚNIOR CINEMATOGRÁFICA E ARTE LTDA;09.207.344/0001-40;EDER SAN JÚNIOR CINEMATOGRÁFICA E ARTE LTDA;00.000.000/0000-0-;-;05/09/2018;R$ 600.000,00;21/09/2018;R$ 600.000,00
ULTRA BEBÊ;PRODAV 01;2013;00.508.766/0001-81;SAMBAQUI CULTURAL CINE VÍDEO LTDA;00.508.766/0001-81;SAMBAQUI CULTURAL CINE VÍDEO LTDA;00.000.000/0000-0-;-;29/03/2017;R$ 400.000,00;04/05/2017;R$ 400.000,00
UM ADEUS A CADA GESTO;PRODAV 01;2013;06.900.652/0001-69;BSB SERVIÇOS CINEGROUP LTDA;06.900.652/0001-69;BSB SERVIÇOS CINEGROUP LTDA;00.000.000/0000-0-;-;22/05/2019;R$ 420.000,00;27/05/2019;R$ 420.000,00
UM BAIANO CHAMADO HANSEN;PRODAV 01;2013;14.487.133/0001-49;B3 CINE VÍDEO LTDA ME;14.487.133/0001-49;B3 CINE VÍDEO LTDA ME;00.000.000/0000-0-;-;20/03/2019;R$ 400.000,00;28/03/2019;R$ 400.000,00
UM BELO DIA RESOLVI MUDAR;PRODAV 01;2013;02.154.879/0001-51;CABRA VADIA CINEMA E COMUNICAÇÃO LTDA;02.154.879/0001-51;CABRA VADIA CINEMA E COMUNICAÇÃO LTDA;00.000.000/0000-0-;-;30/11/2015;R$ 940.000,00;28/12/2015;R$ 940.000,00
UM DOMINGO DE 53 HORAS;PRODAV 01;2013;03.138.801/0001-06;STÚDIO 10 ASSESSORIA E COMUNICAÇÃO LTDA ME;03.138.801/0001-06;STÚDIO 10 ASSESSORIA E COMUNICAÇÃO LTDA ME;00.000.000/0000-0-;-;28/03/2019;R$ 93.032,34;25/04/2019;R$ 93.032,34
UM FILME DE CINEMA;PRODECINE 03;2013;01.369.211/0001-69;REPÚBLICA PUREZA FILMES LTDA.;01.369.211/0001-69;REPÚBLICA PUREZA FILMES LTDA.;08.427.088/0001-34;DE FELIPPES FILMES E PRODUÇÕES LTDA;08/02/2017;R$ 200.000,00;10/04/2017;R$ 200.000,00
UM FILME DE VERÃO;PRODAV 01;2013;12.088.742/0001-08;ELECTRA PRODUÇÕES ARTISTICAS LTDA.;12.088.742/0001-08;ELECTRA PRODUÇÕES ARTISTICAS LTDA.;00.000.000/0000-0-;-;24/01/2018;R$ 400.000,00;30/01/2018;R$ 400.000,00
ENTRE ABELHAS;PRODECINE 02;2013;03.918.609/0001-32;WMIX DISTRIBUIDORA LTDA.;06.998.046/0001-28;RT2A PRODUÇÕES CINEMATOGRÁFICAS LTDA.;03.918.609/0001-32;WMIX DISTRIBUIDORA LTDA.;16/10/2015;R$ 1.000.000,00;22/10/2015;R$ 1.000.000,00
UM MARANHENSE CHAMADO JOSÉ RIBAMAR;PRODAV 01;2013;33.139.692/0001-02;MAPA FILMES DO BRASIL LTDA.;33.139.692/0001-02;MAPA FILMES DO BRASIL LTDA.;00.000.000/0000-0-;-;15/12/2015;R$ 500.000,00;21/12/2015;R$ 500.000,00
ERA O HOTEL CAMBRIDGE;PRODECINE 01;2013;08.429.784/0001-80;AURORA FILMES LTDA.;08.429.784/0001-80;AURORA FILMES LTDA.;11.620.976/0001-83;VITRINE FILMES EIRELI - ME;10/08/2015;R$ 550.000,00;27/10/2015;R$ 550.000,00
UMA NOITE NÃO É NADA;PRODECINE 04;2013;69.126.670/0001-55;A.F. CINEMA E VÍDEO LTDA;69.126.670/0001-55;A.F. CINEMA E VÍDEO LTDA;08.346.733/0001-94;RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.;18/09/2015;R$ 632.942,00;30/12/2015;R$ 632.942,00
CORRENDO ATRÁS;PRODECINE 02;2013;72.672.017/0001-04;CANNES PRODUÇÕES S/A;72.062.029/0001-09;RACCORD PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA;72.672.017/0001-04;CANNES PRODUÇÕES S/A;06/07/2016;R$ 2.500.000,00;28/07/2016;R$ 2.500.000,00
VAI QUE DÁ CERTO 2;PRODECINE 01;2013;00.538.914/0001-00;FRAIHA PRODUCOES DE EVENTOS E EDITORA EIRELI;00.538.914/0001-00;FRAIHA PRODUCOES DE EVENTOS E EDITORA EIRELI;03.918.609/0001-32;WMIX DISTRIBUIDORA LTDA.;06/07/2015;R$ 1.000.000,00;28/07/2015;R$ 1.000.000,00
MAIS FORTE QUE O MUNDO - A HISTÓRIA DE JOSÉ ALDO;PRODECINE 01;2013;01.478.079/0001-23;BLACK MARIA FILME VIDEO DIGITAL EIRELI;01.478.079/0001-23;BLACK MARIA FILME VIDEO DIGITAL EIRELI;08.257.054/0001-49;SM DISTRIBUIDORA DE FILMES LTDA;06/06/2016;R$ 1.000.000,00;08/07/2016;R$ 1.000.000,00
VELEIRO ECO - NASCE UM PESQUISADOR;PRODAV 01;2013;03.382.219/0001-90;CAROLINA BORGES DE ANDRADE ME;03.382.219/0001-90;CAROLINA BORGES DE ANDRADE ME;00.000.000/0000-0-;-;03/10/2018;R$ 291.515,91;08/10/2018;R$ 291.515,91
VENTOS QUE SOPRAM - MARANHÃO;PRODAV 01;2013;55.084.750/0001-80;GAYA PRODUCOES CINEMATOGRAFICAS LTDA - ME;55.084.750/0001-80;GAYA PRODUCOES CINEMATOGRAFICAS LTDA - ME;00.000.000/0000-0-;-;05/09/2018;R$ 500.000,00;13/09/2018;R$ 500.000,00
OPÇÃO AMÉRICA;PRODAV 01;2013;13.188.290/0001-90;INFFINITO ENTRETENIMENTO E COMUNICAÇÕES LTDA. ME.;13.188.290/0001-90;INFFINITO ENTRETENIMENTO E COMUNICAÇÕES LTDA. ME.;00.000.000/0000-0-;-;29/11/2017;R$ 578.682,00;07/12/2017;R$ 578.682,00
OPÇÃO LAGE;PRODAV 01;2013;04.303.816/0001-45;INFFINITO EVENTOS E PRODUÇÕES LTDA;04.303.816/0001-45;INFFINITO EVENTOS E PRODUÇÕES LTDA;00.000.000/0000-0-;-;07/08/2015;R$ 160.000,00;23/10/2015;R$ 160.000,00
TARSILINHA;PRODECINE 02;2013;15.372.472/0001-42;H2O DISTRIBUIDORA DE FILMES S/A;01.161.933/0001-23;PG - PRODUÇÕES DE CINEMA VÍDEO E TV LTDA;15.372.472/0001-42;H2O DISTRIBUIDORA DE FILMES S/A;01/04/2016;R$ 3.000.000,00;15/04/2016;R$ 3.000.000,00
TELA SOBRE TINTA;PRODAV 01;2013;15.595.876/0001-03;M L TOLEDO DE MARTINO PRODUÇÕES ARTÍSTICAS;15.595.876/0001-03;M L TOLEDO DE MARTINO PRODUÇÕES ARTÍSTICAS;00.000.000/0000-0-;-;16/05/2018;R$ 364.764,00;21/05/2018;R$ 364.764,00
TEMPERO SECRETO;PRODAV 01;2013;06.137.016/0001-27;PRIMO FILMES LTDA;06.137.016/0001-27;PRIMO FILMES LTDA;00.000.000/0000-0-;-;03/02/2017;R$ 4.300.000,00;22/02/2017;R$ 4.300.000,00
TEMPO DA TERRA;PRODAV 01;2013;73.364.879/0001-24;FBL E ASSOCIADOS, COMUNICAÇÕES LTDA;73.364.879/0001-24;FBL E ASSOCIADOS, COMUNICAÇÕES LTDA;00.000.000/0000-0-;-;12/12/2018;R$ 897.256,00;17/12/2018;R$ 897.256,00
TERRA BRASIL;PRODAV 01;2013;08.346.159/0001-74;MEDIALAND PRODUÇÃO E COMUNICAÇÃO LTDA;08.346.159/0001-74;MEDIALAND PRODUÇÃO E COMUNICAÇÃO LTDA;00.000.000/0000-0-;-;24/08/2015;R$ 800.000,00;17/09/2015;R$ 800.000,00
